authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"E. Fara","E. Fara","E. Fara",4203,"M. J.",Polcyn,E.,Tchernov,"L.L. Jacobs",1999,"The Cretaceous biogeography of the Eastern Mediterranean with a description of a new basal mosasauroid from 'Ein Yabrud, Israel","in Y. Tomida, T.H. Rich and P. Vickers-Rich, eds., Proceedings of the Second Gondwanan Dinosaur Symposium. National Science Museum Monographs, Tokyo, Japan.",,,15,259,290,"serial monograph","stated without evidence",English,,,5%,320,"2002-03-04 16:40:37","2005-04-24 20:25:17"
"M. Carrano","M. Carrano",,25546,"A. N.",Riabinin,,,,1931,"Ostatki dinozavrov iz verkhnego mela nizov'ev r. Amu-Dar'i [On the dinosaurian remains from the Upper Cretaceous of the lower parts of the Amu-Daria River]","Zapiski Rossiyskogo Mineralogicheskogo Obshchestva",,60,1,114,118,"journal article","stated without evidence",Russian,,,ETE,,"2007-10-22 15:05:45","2007-10-23 08:05:45"
"E. Fara","E. Fara","P. Mannion",18862,Z.,Ro&#269;ek,"L. A.",Nessov,,1993,"Cretaceous anurans from Central Asia","Palaeontographica Abteilung A",,226,,1,54,"journal article","stated with evidence",English,,,,,"2006-09-22 06:25:38","2012-12-20 01:33:53"
"M. Carrano","M. Carrano","M. Carrano",31565,"P. P.",Skutschas,,,,2009,"Re-evaluation of Mynbulakia Nesov, 1981 (Lissamphibia: Caudata) and description of a new salamander genus from the Late Cretaceous of Uzbekistan","Journal of Vertebrate Paleontology",,29,3,659,664,"journal article","stated with evidence",English,10.1671/039.029.0326,,ETE,,"2010-01-13 14:12:37","2010-01-14 09:21:43"
"P. Mannion","P. Mannion",,39421,"G. W.",Storrs,"M. B.",Efimov,,2000,"Mesozoic crocodyliforms of north-central Eurasia","The Age of Dinosaurs in Russia and Mongolia","M. J. Benton, M. A. Shishkin, D. M. Unwin, E. N. Kurochkin",,,402,419,"book/book chapter","stated with evidence",English,,,,,"2012-01-13 03:27:50","2012-01-13 03:27:50"
"M. Carrano","M. Carrano",,30213,H.-D.,Sues,A.,Averianov,,2009,"A new basal hadrosauroid dinosaur from the Late Cretaceous of Uzbekistan and the early radiation of duck-billed dinosaurs","Proceedings of the Royal Society B: Biological Sciences",,276,1667,2549,2555,"journal article","stated with evidence",English,10.1098/rspb.2009.0229,,ETE,,"2009-07-07 10:08:10","2009-07-08 03:08:10"
"P. Mannion","J. Tennant",,46400,H.-D.,Sues,A.,Averianov,,2013,"Enigmatic teeth of small theropod dinosaurs from the Upper Cretaceous (Cenomanian–Turonian) of Uzbekistan","Canadian Journal of Earth Sciences",,50,,306,314,"journal article","stated with evidence",English,,,,,"2013-04-19 22:12:12","2013-04-19 22:12:12"
"M. Carrano","M. Carrano",,53745,H.-D.,Sues,A.,Averianov,,2014,"Dromaeosauridae (Dinosauria: Theropoda) from the Bissekty Formation (Upper Cretaceous: Turonian) of Uzbekistan and the phylogenetic position of Itemirus medullaris Kurzanov, 1976","Cretaceous Research",,51,,225,240,"journal article","stated with evidence",English,,,,,"2014-12-04 16:37:04","2014-12-05 09:37:04"
"P. Mannion","J. Tennant",,53929,H.-D.,Sues,A.,Averianov,,2015,"New material of Caenagnathasia martinsoni (Dinosauria: Theropoda: Oviraptorosauria) from the Bissekty Formation (Upper Cretaceous: Turonian) of Uzbekistan","Cretaceous Research",,54,,50,59,"journal article","stated with evidence",English,,,,,"2015-01-06 08:25:10","2015-01-07 01:25:10"
"P. Mannion","P. Mannion","P. Mannion",54649,H.-D.,Sues,A.,Averianov,"R. C. Ridgely, L. M. Witmer",2015,"Titanosauria (Dinosauria, Sauropoda) from the Upper Cretaceous (Turonian) Bissekty Formation of Uzbekistan","Journal of Vertebrate Paleontology",,35,1,e889145,,"journal article","stated with evidence",English,10.1080/02724634.2014.889145,,,,"2015-03-18 12:15:52","2015-03-19 04:27:11"
"P. Mannion","J. Tennant",,50313,C.,Sullivan,Y.,Wang,"D. W. E. Hone, Y. Wang, X. Xu, F. Zhang",2014,"The vertebrates of the Jurassic Daohugou biota of northeastern China","Journal of Vertebrate Paleontology",,34,2,243,280,"journal article","stated with evidence",English,,,,,"2014-03-04 14:34:37","2014-03-05 07:34:37"
"P. Mannion","J. Tennant","J. Tennant",45994,"E. V.",Syromyatnikova,,,,2011,"Turtles of the genus Ferganemys Nessov et Khosatzky, 1977 (Adocidae): shell morphology and phylogenetic position","Proceedings of the Zoological Institute RAS",,315,1,38,52,"journal article","stated with evidence",English,,,,,"2013-03-27 23:48:51","2013-03-28 00:10:18"
"P. Mannion","P. Mannion","J. Benito Moreno",46205,D.,Vasilyan,M.,Böhme,,2012,"Pronounced Peramorphosis in Lissamphibians—Aviturus exsecratus (Urodela, Cryptobranchidae) from the Paleocene–Eocene Thermal Maximum of Mongolia","PLoS One",,7,9,e40665,,"journal article","stated with evidence",English,10.1371/journal.pone.0040665,,,,"2013-04-09 01:56:11","2015-10-30 03:16:09"
"P. Mannion","P. Mannion",,38528,"N. S.",Vitek,"I. G.",Danilov,,2010,"New material and a reassessment of soft-shelled turtles (Trionychidae) from the Late Cretaceous of Middle Asia and Kazakhstan","Journal of Vertebrate Paleontology",,30,2,383,393,"journal article","stated with evidence",English,,,,,"2011-11-16 16:36:55","2011-11-16 16:36:55"
"P. Mannion","J. Tennant",,50301,"N. S.",Vitek,"I. G.",Danilov,,2014,"Soft-shelled turtles (Trionychidae) from the Cenomanian of Uzbekistan","Cretaceous Research",,49,,1,12,"journal article","stated with evidence",English,,,,,"2014-03-04 09:56:17","2014-03-05 02:56:17"
"R. Benson","R. Benson",,37810,Y.,Wang,,,,2000,"A new salamander (Amphibia: Caudata) from the Early Cretaceous Jehol Biota","Vertebrata PalAsiatica",,38,,100,103,"journal article","stated with evidence",English,,,,,"2011-09-22 19:18:43","2011-09-22 19:18:43"
"J. Alroy","J. Alroy","J. Alroy",30988,Y.,Wang,,,,2004,"A new Mesozoic caudate (Liaoxitriton daohugouensis sp. nov.) from Inner Mongolia, China","Chinese Science Bulletin",,49,8,858,860,"journal article","stated with evidence",English,,,,,"2009-10-28 14:12:41","2009-10-29 08:52:41"
"R. Benson","R. Benson",,37812,Y.,Wang,,,,2004,"Taxonomy and stratigraphy of Late Mesozoic anurans and urodeles from China","Acta Geologica Sinica",,78,6,1169,1178,"journal article","stated with evidence",English,,,,,"2011-09-22 19:37:24","2011-09-22 19:37:24"
"J. Alroy","J. Alroy",,34986,Y.,Wang,"S. E.",Evans,,2006,"A new short-bodied salamander from the Upper Jurassic/Lower Cretaceous of China","Acta Palaeontologica Polonica",,51,1,127,130,"journal article","stated with evidence",English,,,,,"2011-02-01 14:50:10","2011-02-01 14:50:10"
"R. Butler","R. Butler",,31153,X.,Wang,"A. W. A.",Kellner,"S. Jiang, X. Meng",2009,"An unusual long-tailed pterosaur with elongated neck from western Liaoning of China","Anais da Academia Brasileira de Ciências",,81,4,793,812,"journal article","stated with evidence",English,,,,,"2009-11-11 08:42:01","2009-11-12 03:42:01"
"R. Butler","R. Butler",,34511,X.,Wang,"A. W. A.",Kellner,"S. Jiang, X. Cheng, Xi Meng, T. Rodrigues",2010,"New long-tailed pterosaurs (Wukongopteridae) from western Liaoning, China","Anais da Academia Brasileira de Ciências",,82,4,1045,1062,"journal article","stated with evidence",English,,,,,"2010-12-15 03:14:33","2010-12-15 03:14:33"
"J. Alroy","J. Alroy",,28354,Y.,Wang,"C. S.",Rose,,2005,"Jeholotriton paradoxus (Amphibia: Caudata) from the Lower Cretaceous of southeastern Inner Mongolia, China","Journal of Vertebrate Paleontology",,25,3,523,532,"journal article","stated with evidence",English,,,,,"2008-10-29 16:33:42","2008-10-30 10:33:42"
"R. Butler","R. Butler",,30959,X.,Wang,Z.,Zhou,"F. Zhang, X. Xu",2002,"A nearly completely articulated rhamphorhynchoid pterosaur with exceptionally well-preserved wing membranes and ""hairs"" from Inner Mongolia, northeast China","Chinese Science Bulletin",,47,,226,230,"journal article","stated with evidence",English,,,,,"2009-10-27 07:43:21","2009-10-28 01:43:21"
"J. Alroy","J. Alroy",,36800,X.,Xu,H.,You,"K. Du, F. Han",2011,"An Archaeopteryx-like theropod from China and the origin of Avialae",Nature,,475,,465,470,"journal article","stated with evidence",English,10.1038/nature10288,,,,"2011-07-29 16:21:03","2011-07-29 16:21:03"
"M. Carrano","M. Carrano","M. Carrano",14925,X.,Xu,F.,Zhang,,2005,"A new maniraptoran dinosaur from China with long feathers on the metatarsus",Naturwissenschaften,,92,,173,177,"journal article","stated without evidence",English,,,ETE,,"2005-10-24 12:22:52","2005-11-15 05:21:15"
"M. Carrano","M. Carrano",,35452,X.,Xu,Q.,Zhao,"M. Norell, C. Sullivan, D. Hone, G. Erickson, X. Wang, F. Han, Y. Guo",2009,"A new feathered maniraptoran dinosaur fossil that fills a morphological gap in avian origin","Chinese Science Bulletin",,54,3,430,435,"journal article","stated with evidence",English,10.1007/s11434-009-0009-6,,ETE,,"2011-03-07 05:39:28","2011-03-07 05:39:28"
"J. Alroy","J. Alroy","M. Carrano",30990,G.,Zhang,Y.,Wang,"M. E. H. Jones, S. E. Evans",2009,"A new Early Cretaceous salamander (Regalerpeton weichangensis gen. et sp. nov.) from the Huajiying Formation of northeastern China","Cretaceous Research",,30,3,551,558,"journal article","stated with evidence",English,10/1016/j.cretres.2008.10.004,,,,"2009-10-28 14:38:35","2010-04-24 07:19:25"
"M. Carrano","M. Carrano","J. Alroy",7648,F.,Zhang,Z.,Zhou,"X. Xu, X. Wang",2002,"A juvenile coelurosaurian theropod from China indicates arboreal habits",Naturwissenschaften,,89,9,394,398,"journal article","stated with evidence",English,,,,,"2003-01-15 19:29:53","2008-12-12 13:46:54"
"J. Alroy","J. Alroy",,28756,F.,Zhang,Z.,Zhou,"X. Xu, X. Wang, C. Sullivan",2008,"A bizarre Jurassic maniraptoran from China with elongate ribbon-like feathers",Nature,,455,,1105,1108,"journal article","stated with evidence",English,,,,,"2008-12-11 19:00:04","2008-12-12 14:00:04"
"P. Mannion","P. Mannion","M. Carrano",47911,X.,Zheng,S.,Bi,"X. Wang, J. Meng",2013,"A new arboreal haramiyid shows the diversity of crown mammals in the Jurassic period",Nature,,500,,199,202,"journal article","stated with evidence",English,10.1038/nature12353,,,,"2013-08-08 19:05:43","2015-04-23 03:40:15"
"J. Alroy","J. Alroy","M. Carrano",29485,X.-T.,Zheng,H.-L.,You,"X. Xu, Z.-M. Dong",2009,"An Early Cretaceous heterodontosaurid dinosaur with filamentous integumentary structures",Nature,,458,,333,336,"journal article","stated with evidence",English,10.1038/nature07856,,,,"2009-03-19 19:33:28","2009-03-31 08:35:13"
"R. Butler","R. Butler","R. Butler",35658,C.-F.,Zhou,"R. R.",Schoch,,2011,"New material of the non-pterodactyloid pterosaur Changchengopterus pani Lü, 2009 from the Late Jurassic Tiaojishan Formation of western Liaoning","Neues Jahrbuch für Geologie und Paläontologie Abhandlungen",,260,,265,275,"journal article","stated with evidence",English,,,,,"2011-03-28 18:39:32","2011-10-06 17:56:41"
"P. Mannion","P. Mannion","P. Mannion",47910,C.-F.,Zhou,S.,Wu,"T. Martin, Z.-X. Luo",2013,"A Jurassic mammaliaform and the earliest mammalian evolutionary adaptations",Nature,,500,,163,167,"journal article","stated without evidence",English,,,,,"2013-08-08 18:51:31","2013-08-08 19:06:29"
